发放时间,渠道,金额,数量,团长ID,团长人数,优惠券编号
2017-12-18 11:08:52,heyingli,1000,2,329985,1,7246
2017-12-18 11:10:30,heyingli,1000,5,414231,1,7246
2017-12-18 11:10:51,heyingli,1000,8,492858,1,7246
2017-12-18 11:11:15,heyingli,1000,3,495648,1,7246
2017-12-18 11:17:29,heyingli,1000,5,513456,1,7246
2017-12-18 11:17:42,heyingli,1000,5,912303,1,7246
2017-12-18 11:17:55,heyingli,1000,5,925540,1,7246
2017-12-18 11:18:07,heyingli,1000,3,929456,1,7246
2017-12-18 11:18:24,heyingli,1000,2,930753,1,7246
2017-12-18 11:18:36,heyingli,1000,5,932317,1,7246
2017-12-18 11:19:49,heyingli,1000,2,935062,1,7246
2017-12-18 11:20:15,heyingli,1000,5,713495,1,7246
2017-12-18 11:20:28,heyingli,1000,5,858409,1,7246
2017-12-18 11:22:15,heyingli,1000,3,909939,1,7246
2017-12-18 11:23:00,heyingli,1000,5,913634,1,7246
2017-12-18 11:23:16,heyingli,1000,10,945809,1,7246
2017-12-18 14:32:34,heyingli,1000,2,438965,1,7194
2017-12-19 16:35:16,heyingli,1000,2,300221,1,7194
2017-12-04 16:58:35,jutianjiao,1000,1,50,1,7455
2017-12-05 13:42:24,jutianjiao,1000,1,50,1,7455
2017-12-05 15:24:43,jutianjiao,1500,1,50,1,7416
2017-12-05 16:24:47,jutianjiao,1000,5,902733,1,7455
2017-12-06 13:14:24,jutianjiao,1000,10,853020,1,7455
2017-12-07 14:34:31,jutianjiao,1000,1,909674,1,7455
2017-12-07 14:44:03,jutianjiao,1000,5,906868,1,7455
2017-12-07 16:25:33,jutianjiao,1000,5,906018,1,7455
2017-12-07 16:54:37,jutianjiao,1000,1,50,1,7455
2017-12-07 21:40:58,jutianjiao,1000,10,853020,1,7455
2017-12-10 22:33:17,jutianjiao,1000,10,902366,1,7455
2017-12-02 11:35:02,lijun,1000,5,"883529,31198,882835",3,6833
2017-12-04 14:46:08,lijun,1000,5,"254338,117890",2,6833
2017-12-04 16:08:55,lijun,1000,5,"872752,613583,847987",3,6833
2017-12-04 18:11:35,lijun,1000,10,"148550,202355,500384,43076,650192,245896,283326,221031,808840,228563,828004,40805,53143,87983,131234,315743,96192,24825,51586,67150,42331,28948,46085,130302,30192,37879,67527,152513,286545,259182,39871,687364,812360,765762,234547,37162,341883",37,6783
2017-12-04 18:12:16,lijun,1000,15,"270083,96114,16995,11770,134977,136788,120770,136755,9547,44186",10,6783
2017-12-04 18:12:58,lijun,1000,20,"27997,145945,31831,38617,170878,103120,49859",7,6783
2017-12-04 18:13:40,lijun,1000,25,430,1,6783
2017-12-05 19:51:44,lijun,1000,15,119568,1,6783
2017-12-08 15:24:02,lijun,1000,5,"406988,641345,719008,522438,709619",5,6833
2017-12-11 14:00:18,lijun,1000,10,"134977,103120,78984,728691,1472,40805,225915,59,138658,658482,67150,580483,130302,715998,67527,140983,202355,37879,308860,4285,228563,286545,28948,315743,259182,522438,39871,872033,757223,808840,37162,827443,10889,97919,765762,878801,148150,875283,234547,410851,687364,828004,30192,853020,613583,862786",46,6783
2017-12-11 14:01:04,lijun,1000,30,8634,1,6783
2017-12-11 15:50:30,lijun,1000,5,712733,1,6833
2017-12-11 19:38:15,lijun,1000,15,"31831,20492,270083,381307,96114,120770,124016,136788,119568,236197,170878,85184,44186,136755,49859",15,6783
2017-12-11 19:38:53,lijun,1000,20,"48416,27980,27997",3,6783
2017-12-11 19:39:10,lijun,1000,25,430,1,6783
2017-12-11 19:39:31,lijun,1000,30,19464,1,6783
2017-12-12 16:39:56,lijun,1000,15,144536,1,6783
2017-12-12 16:41:54,lijun,1000,20,35987,1,6783
2017-12-12 18:10:18,lijun,1000,5,"124743,895343,905691,892349,239359,894237",6,6833
2017-12-13 15:37:28,lijun,3000,250,0,1,7145
2017-12-14 18:06:26,lijun,1000,5,"48296,730666,816750,602591,672854,10205",6,6833
2017-12-15 19:34:06,lijun,1000,5,"124267,900260,935896",3,6833
