"81560","0","0","0","0","0","0","0","0","0","0","0","0","0","0","838","1468","1910","1848"
"81580","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","221","406","322"
"81860","0","0","0","0","0","0","0","0","0","0","0","0","59","72","147","73","39","85"
"82081","0","0","0","0","0","0","0","0","0","0","0","0","0","0","189","157","105","87"
"82193","0","0","0","0","0","0","0","0","0","0","0","1","2","0","666","744","735","697"
"83947","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82","162","218","144"
"84694","0","0","0","0","0","0","0","0","0","0","0","25","59","22","76","97","86","81"
"85184","0","0","0","0","0","0","0","0","0","0","0","190","207","49","165","49","63","160"
"86021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","283","217","156"
"87338","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","260"
"87631","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","61"
"87983","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","137"
"89079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","65"
"89159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","799","573"
"89655","0","0","0","0","0","0","0","0","0","0","0","27","9","23","75","105","125","130"
"90003","0","0","0","0","0","0","0","0","0","0","0","0","92","39","205","149","202","132"
"91192","0","0","0","0","0","0","0","0","0","0","0","153","165","48","212","190","87","79"
"91274","0","0","0","0","0","0","0","0","0","0","0","4","38","17","146","275","427","383"
"91368","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","131","84"
"92044","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61","60","116"
"92104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","252","370","194"
"94689","0","0","0","0","0","0","0","0","0","0","0","0","63","77","169","101","79","79"
"95445","0","0","0","0","0","0","0","0","0","0","0","48","104","82","152","152","89","82"
"95948","0","0","0","0","0","0","0","0","0","0","0","41","117","92","162","150","196","233"
"96114","0","0","0","0","0","0","0","0","0","0","0","196","257","117","478","849","1015","851"
"96192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","350","189","138","156"
"96599","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","327","124"
"97065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112","193","104"
"98670","0","0","0","0","0","0","0","0","0","0","0","20","124","88","116","41","61","72"
"98736","0","0","0","0","0","0","0","0","0","0","0","0","4","23","56","62","70","206"
"100521","0","0","0","0","0","0","0","0","0","0","0","57","70","105","264","377","256","205"
"101207","0","0","0","0","0","0","0","0","0","0","0","1","155","92","160","114","131","115"
"102580","0","0","0","0","0","0","0","0","0","0","0","0","130","39","86","58","51","63"
"103120","0","0","0","0","0","0","0","0","0","0","0","0","110","183","460","565","824","581"
"103520","0","0","0","0","0","0","0","0","0","0","0","0","0","0","356","330","249","330"
"104506","0","0","0","0","0","0","0","0","0","0","0","0","0","7","95","87","116","105"
"104873","0","0","0","0","0","0","0","0","0","0","0","0","15","103","314","169","172","104"
"105020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","855"
"105432","0","0","0","0","0","0","0","0","0","0","0","28","92","82","265","224","174","172"
"105643","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","113"
"105761","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","25","33","73"
"106725","0","0","0","0","0","0","0","0","0","0","0","0","12","36","134","102","102","87"
"107035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61","64"
"107346","0","0","0","0","0","0","0","0","0","0","0","0","0","13","158","237","270","272"
"107540","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","71"
"109034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","48","81"
"109638","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62","246","201"
"109825","0","0","0","0","0","0","0","0","0","0","0","0","9","30","45","54","31","76"
"109899","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","149","133"
"110552","0","0","0","0","0","0","0","0","0","0","0","0","0","35","211","153","192","90"
"111039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","259","110","40","71"
"111493","0","0","0","0","0","0","0","0","0","0","0","0","129","62","224","91","104","80"
"112801","0","0","0","0","0","0","0","0","0","0","0","0","110","28","86","160","58","78"
"113653","0","0","0","0","0","0","0","0","0","0","0","0","34","21","86","109","132","88"
"113868","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","318","152","62"
"114260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128","335"
"116959","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112","73","50","67"
"117712","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","83"
"118242","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83","188","127","63"
"119824","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","58","60","72"
"120601","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","51","94","75"
"120654","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","118","120"
"120770","0","0","0","0","0","0","0","0","0","0","0","0","0","0","253","614","635","546"
"120952","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92","360","434","278"
"122583","0","0","0","0","0","0","0","0","0","0","0","0","0","0","449","414","295","223"
"123705","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","90","45","77"
